id,name,lat,long
1214,Tom Roberts Av after Beaumaris St,-35.466404,149.100418
1215,Box Hill Av opp Lanyon Marketplace,-35.456169,149.092499
1216,Box Hill Av opp St. Clare of Assisi Primary,-35.457714,149.097366
1217,Box Hill Av Lanyon Marketplace,-35.456352,149.092468
1218,Box Hill Av St. Clare of Assisi PS,-35.457981,149.097458
1219,Tom Roberts Av before Box Hill Av,-35.460468,149.099014
1220,Tom Roberts Av after John Russell Cct,-35.461296,149.101807
1221,Tom Roberts Av before Lethbridge St,-35.4622,149.10498
1223,Tom Roberts Av Conder Primary School,-35.464855,149.097977
1224,Pockett Av after Bastow Cct,-35.464989,149.093948
1225,Pockett Av after Tregellas Cr,-35.46759,149.095276
1226,Pockett Av 2nd after Brockway Cct,-35.470394,149.097656
1227,Pockett Av Banks Shops,-35.472431,149.095947
1228,Pockett Av after Tharwa Dr,-35.473495,149.091736
1229,Knoke Av after Coventry Cl,-35.472851,149.089447
1230,Knoke Av after Minnett Cl,-35.470764,149.088898
1231,Knoke Av 2nd after Harry Hopman Cct,-35.470875,149.088791
1232,Knoke Av after Matson St,-35.467175,149.087677
1233,Knoke Av after Travers St,-35.465672,149.085587
1234,Knoke Av after Cornforth St,-35.461983,149.083649
1235,Knoke Av after Midge St,-35.460663,149.085724
1237,Lewis Luxton Av after Woodcock Dr,-35.452995,149.087341
1238,Lewis Luxton Av after 2nd Cerutty Cr,-35.450897,149.08934
1239,Lewis Luxton Av after Mackney Pl,-35.448734,149.087143
1240,Preddy Wy after Lewis Luxton Av,-35.448162,149.084198
1241,Clare Dennis Av after Noel Ryan Gdn,-35.446545,149.085449
1242,Clare Dennis Av after 2nd Noel Ryan Gdn,-35.444641,149.087173
1243,Clare Dennis Av after Woodfull Lp,-35.443119,149.085846
1244,Barr Smith Av before Drakeford Dr,-35.428791,149.082199
1245,Barr Smith Av after Drakeford Dr,-35.428825,149.082367
1246,Brierly St Cooleman Ct Plt1,-35.340843,149.052338
1247,Streeton Dr before Hindmarsh Dr,-35.340981,149.050278
1248,Streeton Dr after Hindmarsh Dr,-35.344681,149.047089
1249,Streeton Dr South of Hindmarsh Dr,-35.344612,149.047043
1250,Fremantle Dr after Streeton Dr,-35.346409,149.046936
1251,Fremantle Dr before Streeton Dr,-35.3466,149.047043
1252,Fremantle Dr after 2nd McKail Cr,-35.348286,149.04924
1253,Fremantle Dr 3rd after Crowder Cct,-35.347359,149.048187
1258,Namatjira Dr opp St John Vianney,-35.352146,149.053757
1259,Namatjira Dr Northbound after Streeton Dr,-35.355186,149.050491
1260,Namatjira Dr St John Vianney,-35.351921,149.054153
1261,Tom Roberts before McLuckie Cr,-35.46656,149.10051
1262,Wiburd St before Pockett Av,-35.469933,149.098663
1263,Namatjira Dr after Badimara St,-35.355114,149.050797
1264,Namatjira Dr Southbound after Streeton Dr,-35.358479,149.047928
1265,Namatjira Dr before Kapunda St,-35.360592,149.047806
1266,Namatjira Dr after Kapunda St,-35.363483,149.049713
1267,Namatjira Dr 2nd after Kapunda St,-35.366089,149.051514
1268,Namatjira Dr 2nd before Drakeford Dr,-35.366009,149.051361
1269,Namatjira Dr after Perry Dr,-35.358208,149.047882
1270,Namatjira Dr after Kapunda St,-35.360443,149.047653
1271,Namatjira Dr 3rd from Drakeford Dr,-35.36356,149.049606
1272,Kambah Pool Rd after Namatjira Dr,-35.375137,149.048965
1273,Kambah Pool Rd after Barritt St,-35.37534,149.048615
1274,Barritt St after Kambah Pool Rd,-35.377991,149.04837
1275,Barritt St before Kambah Pool Rd,-35.378094,149.048294
1276,Barritt St after Bacchus Cct,-35.380211,149.051865
1277,Barritt St after Boddington Cr,-35.37986,149.051193
1278,Boddington Cr 2nd after Carleton St,-35.38121,149.051773
1279,Boddington Cr after Carleton St,-35.382092,149.051147
1280,Boddington Cr after Barritt St,-35.382088,149.051285
1281,Boddington Cr before Castley Cct,-35.385033,149.050568
1282,Boddington Cr after 2nd Crozier Cct,-35.385777,149.050415
1283,Boddington Cr after 2nd Castley Cct,-35.389282,149.051636
1284,Boddington Cr after Bateman St,-35.389191,149.051361
1285,Boddington Cr before McLeod Pl,-35.390041,149.05365
1286,Boddington Cr before O'Halloran Cct,-35.389198,149.056656
1287,Boddington Cr after McLeod Pl,-35.390316,149.053802
1288,Boddington Cr after O'Halloran Cct,-35.389393,149.057159
1289,O'Halloran Cct after Springbett St,-35.390377,149.059036
1290,O'Halloran Cct after 2nd McKillop Cct,-35.390362,149.058853
1291,O'Halloran Cct after 2nd Springbett St,-35.39291,149.058197
1292,O'Halloran Cct after 1st McKillop Cct,-35.39312,149.058014
1293,O'Halloran Cct before Snodgrass Cr,-35.395622,149.05925
1294,O'Halloran Cct 2nd after Vansittart Cr,-35.395813,149.05928
1295,O'Halloran Cct after Snodgrass Cr,-35.39579,149.062881
1296,O'Halloran Cct after Vansittart Cr,-35.39592,149.062897
1297,O'Halloran Cct after 2nd Jenke Cct,-35.3941,149.065918
1298,O'Halloran Cct after 2nd Snodgrass Cr,-35.39397,149.065796
1299,O'Halloran Cct opp. Namadgi School,-35.393074,149.067673
13,Tuggeranong Stn Arrivals,-35.414871,149.066025
1300,O'Halloran Cct Namadgi School Kambah,-35.392578,149.068207
1301,Summerland Cct after Vanzetti Cr,-35.391098,149.071579
1302,Summerland Cct before Kingsmill St,-35.39098,149.071503
1303,Summerland Cct after Kingsmill St,-35.39003,149.073547
1304,Summerland Cct after Livingston Av,-35.390171,149.073486
1309,Livingston Av after Cutbush St,-35.389587,149.079208
1310,Livingston Av after Shops,-35.389343,149.079285
1311,Livingston Av after Maxworthy St,-35.388111,149.081116
1312,Livingston Av before Maxworthy St,-35.38797,149.081268
1313,Livingston Av after Symers St,-35.387684,149.083832
1314,Livingston Av after Atkins St,-35.387806,149.084122
1315,Atkins St after Athllon Dr,-35.388237,149.085724
1316,Atkins St after Livingston Av,-35.388206,149.085892
1317,Garratt St opp Wanniassa Shops,-35.392429,149.08667
1318,Garratt St Wanniassa Shops,-35.392551,149.086533
1319,Wheeler Cr after Hyland Pl,-35.394196,149.084366
1320,Wheeler Cr St Anthonys SSO,-35.394894,149.080017
1321,Wheeler Cr after Wanniassa High School,-35.394279,149.084976
1322,Wheeler Cr opp St Anthonys SSO,-35.394981,149.079941
1323,Fincham Cr after Morrissey St,-35.39616,149.078903
1324,Fincham Cr after Wheeler Cr,-35.396301,149.079132
1325,Fincham Cr 2nd after Wheeler Cr,-35.398613,149.080307
1326,Fincham Cr after DeGraves Cr,-35.398903,149.080521
1327,Forlonge St after Fincham Cr,-35.401054,149.081268
1328,Forlonge St after Wheeler Cr,-35.401413,149.080933
1329,Wheeler Cr after Annand Pl,-35.404076,149.081818
1330,Wheeler Cr after Derham Cct,-35.403996,149.081787
1331,Wheeler Cr after Riddell Ct,-35.404007,149.084915
1332,Wheeler Cr after Curtain Pl,-35.404175,149.084351
1333,Sternberg Cr after Mackinnon St,-35.403706,149.088928
1334,Sternberg Cr after Sitwell St,-35.403545,149.088531
1335,Sternberg Cr back of MacKillop CLG,-35.402386,149.092804
1336,Sternberg Cr before Wynne St,-35.401199,149.094986
1337,Sternberg Cr after Wheeler Cr,-35.402351,149.092728
1338,Sternberg Cr after Whiteman St,-35.401035,149.0952
1339,Sternberg Cr after Langdon Av,-35.40144,149.098251
1340,Sternberg Cr Erindale Centre,-35.401695,149.098679
1341,Drakeford Dr after Boddington Cr,-35.377342,149.056198
1342,Drakeford Dr after Sulwood Dr,-35.377331,149.056534
1343,Marconi Cr opp Kambah Village,-35.378929,149.057632
1344,Marconi Cr Kambah Village,-35.379135,149.05777
1345,Marconi Cr after Harrington Cct,-35.377834,149.060638
1346,Marconi Cr after Wyselaskie Cct,-35.378265,149.060104
1347,Marconi Cr opp Taylor PS after Sinclair St,-35.377613,149.064026
1348,Marconi Cr Taylor PS,-35.377739,149.064056
1349,Marconi Cr Taylor PS,-35.378685,149.065353
1350,Marconi Cr opp Taylor PS,-35.378727,149.065491
1351,Marconi Cr after Lascelles Cct,-35.381702,149.065308
1352,Marconi Cr after Hutchison Cr,-35.381401,149.065582
1353,Summerland Cct after Marconi Cr,-35.383373,149.067474
1354,Summerland Cct after Gallagher St,-35.383465,149.06749
1355,Summerland Cct after Hutchison Cr,-35.384914,149.070892
1356,Summerland Cct 2nd after Mason St,-35.385021,149.071136
1357,Summerland Cct after Lee Steere Cr,-35.387623,149.075043
1358,Summerland Cct after 2nd Kingsmill St,-35.387516,149.074921
1359,Langdon Av after Dyer Pl,-35.39241,149.089645
1360,Langdon Av after Garrett St,-35.392319,149.089325
1361,Langdon Av after Shackell Pl,-35.392567,149.093018
1362,Langdon Av after Sainsbury St,-35.392174,149.093689
1363,Langdon Av Wanniassa Hills PS,-35.392151,149.095779
1364,Langdon Av opp Wanniassa Hills PS,-35.392879,149.096558
1365,Langdon Av after Gaunson Cr,-35.396343,149.09639
1366,Langdon Av after Kirkton St,-35.396095,149.096237
1367,Langdon Av after Brunton St,-35.397873,149.097412
1368,Langdon Av 2nd after Gaunson Cr,-35.397755,149.097412
1369,Langdon Av after Sternberg Cr,-35.400372,149.097397
1370,Langdon Av after Longmore Cr,-35.400017,149.097733
1371,Drakeford Dr after Mortimer Lewis Dr,-35.402576,149.074417
1372,Drakeford Dr before Taverner St,-35.40123,149.07457
1373,Drakeford Dr after Taverner St,-35.408028,149.073532
1374,Drakeford Dr after Erindale Dr,-35.408348,149.073074
1375,Athllon Dr after Pitman St,-35.418159,149.064407
1376,Hindmarsh Dr after Ball St,-35.348743,149.08783
1377,Sainsbury St before Sullwood Dr,-35.38707,149.097443
1378,Sainsbury St after Sulwood Dr,-35.387173,149.09761
1379,Longmore Cr after Toohey Pl,-35.387157,149.096085
1380,Longmore Cr after Bosisto Pl,-35.387341,149.096298
1381,Longmore Cr after Methven Pl,-35.387634,149.093674
1382,Longmore Cr 2nd after Sainsbury St,-35.387848,149.093521
1383,Longmore Cr after Wilkie Pl,-35.389038,149.091156
1384,Longmore Cr after Strachan Pl,-35.389168,149.09079
1385,Longmore Cr after Lobb Pl,-35.389771,149.087982
1386,Longmore Cr after Langdon Av,-35.38961,149.088104
1387,Vosper St after Livingston Av,-35.391071,149.078705
1388,Vosper St after Athllon Dr,-35.391132,149.078506
1391,Newman-Morris Cct after McIlveen Pl,-35.411888,149.081741
1392,Newman-Morris Cct after 2nd Cuthbertson Cr,-35.411785,149.081741
1393,Newman-Morris Cct after Raphael Cl,-35.410217,149.083603
1394,Newman-Morris Cct after 2nd Nunan Cr,-35.409718,149.082947
1395,Newman-Morris Cct after Farrelly Cl,-35.408348,149.082199
1396,Newman-Morris Cct after Clutterbuck Cr,-35.407307,149.081192
1397,Newman-Morris Cct 2nd before Farrelly Cl,-35.406723,149.079575
1398,Newman-Morris Cct after 2nd Clutterbuck Cr,-35.406841,149.077591
1399,Newman-Morris Cct after Forlonge St,-35.406719,149.07753
1400,Newman-Morris Cct 2nd after Taverner St,-35.407463,149.075668
1401,Newman-Morris Cct after 2nd Singleton Cr,-35.407219,149.075684
1402,Newman-Morris Cct after Dalgarno Cl,-35.410851,149.075058
1403,Newman-Morris Cct before Cuthbertson Cr,-35.410988,149.075165
1404,Newman-Morris Cct after Collocott Cr,-35.413456,149.076065
1405,Newman-Morris Cct 3rd before Cuthbertson Cr,-35.413536,149.07634
1406,Newman-Morris Cct after Cuthbertson Cr,-35.412838,149.079376
1407,Newman-Morris Cct after Maconochie Cr,-35.413296,149.078629
1408,Anketell St Tuggeranong Pool,-35.412151,149.063187
1409,Learmonth Dr after Vansittart Cr,-35.40197,149.060867
1410,Learmonth Dr 2nd after Athllon Dr,-35.402084,149.060776
1411,Vansittart Cr after Stieglitz Cct,-35.400154,149.062607
1412,Vansittart Cr after Ragless Cct,-35.400089,149.062469
1413,Learmonth Dr after Athllon Dr,-35.403179,149.063354
1414,Learmonth Dr 2nd after Vansittart Cr,-35.403084,149.063522
1415,Vansittart Cr after 2nd Ragless Cct,-35.397224,149.064056
1416,Vansittart Cr after O'Halloran Cr,-35.397461,149.064255
1417,Tuggeranong Pky after Sulwood Dr,-35.373047,149.056885
1418,Tuggeranong Pky before Sulwood Dr,-35.372604,149.057404
1433,Sternberg Cr Wanniassa Shops,-35.401077,149.086166
